42, 'heart', 'artery', 0.0
62, 'skin', 'adipose', 0.0
64, 'esophagus', 'colon', 0.0
93, 'skin', 'breast', 0.0
102, 'esophagus', 'colon', 0.0
116, 'adipose', 'breast', 0.0
134, 'esophagus', 'colon', 0.0
174, 'esophagus', 'colon', 0.0
181, 'breast', 'adipose', 0.0
191, 'small', 'colon', 0.0
241, 'esophagus', 'colon', 0.0
261, 'artery', 'adipose', 0.0
268, 'breast', 'adipose', 0.0
281, 'stomach', 'colon', 0.0
304, 'artery', 'adipose', 0.0
351, 'esophagus', 'colon', 0.0
431, 'esophagus', 'colon', 0.0
447, 'adipose', 'breast', 0.0
462, 'esophagus', 'skin', 0.0
524, 'artery', 'heart', 0.0
621, 'muscle', 'whole', 0.0
637, 'heart', 'esophagus', 0.0
693, 'esophagus', 'colon', 0.0
708, 'esophagus', 'colon', 0.0
747, 'adipose', 'breast', 0.0
791, 'artery', 'heart', 0.0
800, 'artery', 'adipose', 0.0
823, 'esophagus', 'colon', 0.0
828, 'adipose', 'breast', 0.0
853, 'adipose', 'breast', 0.0
854, 'adipose', 'breast', 0.0
886, 'stomach', 'colon', 0.0
890, 'artery', 'heart', 0.0
897, 'esophagus', 'colon', 0.0
909, 'adipose', 'breast', 0.0
912, 'esophagus', 'colon', 0.0
914, 'prostate', 'breast', 0.0
937, 'breast', 'adipose', 0.0
969, 'adipose', 'skin', 0.0
1029, 'artery', 'adipose', 0.0
1055, 'adipose', 'breast', 0.0
1093, 'esophagus', 'colon', 0.0
1095, 'esophagus', 'colon', 0.0
1106, 'esophagus', 'colon', 0.0
1139, 'artery', 'breast', 0.0
1175, 'artery', 'breast', 0.0
1182, 'heart', 'adipose', 0.0
1205, 'esophagus', 'colon', 0.0
1215, 'colon', 'breast', 0.0
1286, 'adipose', 'heart', 0.0
1324, 'artery', 'adipose', 0.0
1387, 'adipose', 'breast', 0.0
1391, 'stomach', 'colon', 0.0
1393, 'breast', 'adipose', 0.0
1406, 'adipose', 'breast', 0.0
1449, 'adipose', 'breast', 0.0
1469, 'adipose', 'breast', 0.0
1498, 'skin', 'artery', 0.0
1523, 'artery', 'adipose', 0.0
1549, 'artery', 'breast', 0.0
1638, 'adipose', 'breast', 0.0
1715, 'stomach', 'colon', 0.0
1746, 'artery', 'heart', 0.0
1807, 'esophagus', 'colon', 0.0
1822, 'stomach', 'esophagus', 0.0
1931, 'nerve', 'skin', 0.0
1945, 'breast', 'adipose', 0.0
1963, 'pituitary', 'brain', 0.0
1981, 'adipose', 'breast', 0.0
2010, 'breast', 'adipose', 0.0
2031, 'artery', 'adipose', 0.0
2090, 'esophagus', 'colon', 0.0
2118, 'adipose', 'breast', 0.0
2255, 'esophagus', 'adipose', 0.0
2326, 'stomach', 'colon', 0.0
2327, 'stomach', 'colon', 0.0
2330, 'adipose', 'breast', 0.0
2332, 'adipose', 'breast', 0.0
2338, 'esophagus', 'adipose', 0.0
2389, 'skin', 'adipose', 0.0
2414, 'adipose', 'breast', 0.0
2441, 'prostate', 'colon', 0.0
2462, 'colon', 'breast', 0.0
2523, 'adipose', 'breast', 0.0
2559, 'artery', 'heart', 0.0
2569, 'breast', 'adipose', 0.0
2594, 'adipose', 'artery', 0.0
2658, 'adipose', 'breast', 0.0
2675, 'artery', 'heart', 0.0
2676, 'adipose', 'breast', 0.0
2708, 'adipose', 'breast', 0.0
2754, 'brain', 'whole', 0.0
2780, 'thyroid', 'muscle', 0.0
2783, 'esophagus', 'colon', 0.0
2789, 'stomach', 'colon', 0.0
2880, 'brain', 'heart', 0.0
2891, 'esophagus', 'stomach', 0.0
2903, 'artery', 'adipose', 0.0
2912, 'breast', 'adipose', 0.0
2923, 'artery', 'adipose', 0.0
2991, 'adipose', 'breast', 0.0
2992, 'stomach', 'colon', 0.0
3028, 'adipose', 'muscle', 0.0
3037, 'stomach', 'colon', 0.0
3094, 'testis', 'esophagus', 0.0
3107, 'stomach', 'colon', 0.0
3150, 'heart', 'artery', 0.0
3160, 'colon', 'small', 0.0
3201, 'breast', 'adipose', 0.0
3220, 'nerve', 'brain', 0.0
3242, 'stomach', 'colon', 0.0
3304, 'stomach', 'esophagus', 0.0
3326, 'adipose', 'breast', 0.0
3356, 'adipose', 'breast', 0.0
3363, 'adipose', 'breast', 0.0
3365, 'artery', 'adipose', 0.0
3427, 'adipose', 'breast', 0.0
3432, 'skin', 'adipose', 0.0
3439, 'breast', 'adipose', 0.0
3463, 'esophagus', 'colon', 0.0
3489, 'stomach', 'colon', 0.0
3504, 'small', 'colon', 0.0
3531, 'breast', 'adipose', 0.0
3613, 'small', 'colon', 0.0
3635, 'adipose', 'breast', 0.0
3637, 'stomach', 'esophagus', 0.0
3652, 'esophagus', 'colon', 0.0
3687, 'adipose', 'breast', 0.0
3696, 'adipose', 'breast', 0.0
3728, 'esophagus', 'colon', 0.0
3742, 'artery', 'heart', 0.0
3747, 'small', 'colon', 0.0
3812, 'colon', 'adipose', 0.0
3814, 'esophagus', 'colon', 0.0
3921, 'esophagus', 'vagina', 0.0
3957, 'adipose', 'breast', 0.0
3985, 'adipose', 'breast', 0.0
4055, 'artery', 'heart', 0.0
4110, 'stomach', 'colon', 0.0
4184, 'skin', 'cells', 0.0
4185, 'artery', 'heart', 0.0
4242, 'thyroid', 'adipose', 0.0
4275, 'nerve', 'heart', 0.0
4302, 'stomach', 'colon', 0.0
4345, 'adipose', 'breast', 0.0
4415, 'colon', 'small', 0.0
4479, 'artery', 'heart', 0.0
4501, 'uterus', 'artery', 0.0
4591, 'adipose', 'breast', 0.0
4601, 'skin', 'brain', 0.0
4626, 'stomach', 'esophagus', 0.0
4683, 'adipose', 'breast', 0.0
4696, 'stomach', 'esophagus', 0.0
4712, 'pituitary', 'brain', 0.0
4715, 'ovary', 'artery', 0.0
4720, 'adipose', 'breast', 0.0
4729, 'adipose', 'breast', 0.0
4730, 'adipose', 'breast', 0.0
4738, 'skin', 'adipose', 0.0
4764, 'esophagus', 'adipose', 0.0
4776, 'esophagus', 'colon', 0.0
4792, 'esophagus', 'colon', 0.0
4799, 'artery', 'heart', 0.0
4821, 'breast', 'adipose', 0.0
4830, 'nerve', 'whole', 0.0
4843, 'stomach', 'colon', 0.0
4962, 'esophagus', 'colon', 0.0
4979, 'adipose', 'breast', 0.0
5018, 'artery', 'adipose', 0.0
5060, 'ovary', 'artery', 0.0
5095, 'heart', 'lung', 0.0
5123, 'esophagus', 'stomach', 0.0
5139, 'testis', 'adipose', 0.0
5152, 'artery', 'heart', 0.0
5163, 'esophagus', 'adipose', 0.0
5200, 'adipose', 'breast', 0.0
5201, 'esophagus', 'breast', 0.0
5241, 'adipose', 'breast', 0.0
5256, 'artery', 'heart', 0.0
5263, 'esophagus', 'colon', 0.0
5273, 'small', 'colon', 0.0
5329, 'esophagus', 'breast', 0.0
5380, 'esophagus', 'colon', 0.0
5399, 'small', 'esophagus', 0.0
5446, 'thyroid', 'pancreas', 0.0
5447, 'adipose', 'heart', 0.0
5453, 'small', 'colon', 0.0
5465, 'adipose', 'heart', 0.0
5488, 'artery', 'adipose', 0.0
5494, 'esophagus', 'adipose', 0.0
5623, 'adipose', 'breast', 0.0
5633, 'adipose', 'breast', 0.0
5647, 'artery', 'heart', 0.0
5669, 'adipose', 'breast', 0.0
5674, 'skin', 'muscle', 0.0
5683, 'adipose', 'breast', 0.0
5772, 'breast', 'adipose', 0.0
5778, 'skin', 'esophagus', 0.0
5784, 'nerve', 'brain', 0.0
5802, 'breast', 'lung', 0.0
5840, 'nerve', 'adipose', 0.0
5927, 'small', 'colon', 0.0
5935, 'esophagus', 'heart', 0.0
6016, 'nerve', 'adipose', 0.0
6020, 'esophagus', 'colon', 0.0
6061, 'adipose', 'breast', 0.0
6080, 'artery', 'adipose', 0.0
6091, 'nerve', 'adipose', 0.0
6110, 'breast', 'adipose', 0.0
6113, 'artery', 'heart', 0.0
6164, 'colon', 'artery', 0.0
6169, 'esophagus', 'colon', 0.0
6174, 'adipose', 'breast', 0.0
6196, 'esophagus', 'colon', 0.0
6243, 'esophagus', 'colon', 0.0
6276, 'esophagus', 'adipose', 0.0
6284, 'nerve', 'heart', 0.0
6286, 'esophagus', 'colon', 0.0
6307, 'skin', 'cells', 0.0
6309, 'adipose', 'breast', 0.0
6340, 'adipose', 'breast', 0.0
6347, 'breast', 'adipose', 0.0
6352, 'nerve', 'heart', 0.0
6356, 'adipose', 'breast', 0.0
6387, 'stomach', 'colon', 0.0
6403, 'artery', 'adipose', 0.0
6437, 'adipose', 'heart', 0.0
6453, 'esophagus', 'adipose', 0.0
6490, 'adipose', 'breast', 0.0
6497, 'breast', 'adipose', 0.0
6498, 'adipose', 'breast', 0.0
6516, 'artery', 'adipose', 0.0
6537, 'esophagus', 'colon', 0.0
6543, 'adipose', 'breast', 0.0
6618, 'adipose', 'breast', 0.0
6667, 'liver', 'colon', 0.0
6688, 'adipose', 'heart', 0.0
6704, 'breast', 'adipose', 0.0
6706, 'ovary', 'artery', 0.0
6738, 'esophagus', 'colon', 0.0
6748, 'lung', 'whole', 0.0
6760, 'esophagus', 'stomach', 0.0
6763, 'artery', 'heart', 0.0
6797, 'breast', 'adipose', 0.0
6808, 'esophagus', 'colon', 0.0
6858, 'adipose', 'breast', 0.0
6883, 'artery', 'adipose', 0.0
6888, 'adipose', 'breast', 0.0
6901, 'esophagus', 'colon', 0.0
6906, 'adipose', 'breast', 0.0
6949, 'adipose', 'breast', 0.0
6977, 'adipose', 'breast', 0.0
6998, 'artery', 'adipose', 0.0
7085, 'skin', 'whole', 0.0
7103, 'breast', 'adipose', 0.0
7128, 'heart', 'adipose', 0.0
7152, 'nerve', 'skin', 0.0
7185, 'esophagus', 'artery', 0.0
7221, 'esophagus', 'colon', 0.0
7293, 'artery', 'heart', 0.0
7296, 'adipose', 'breast', 0.0
7313, 'adipose', 'breast', 0.0
7326, 'esophagus', 'adipose', 0.0
7398, 'breast', 'adipose', 0.0
7407, 'artery', 'heart', 0.0
7508, 'adipose', 'breast', 0.0
7541, 'adipose', 'breast', 0.0
7587, 'stomach', 'colon', 0.0
7640, 'adipose', 'breast', 0.0
7647, 'colon', 'adipose', 0.0
7704, 'lung', 'heart', 0.0
7729, 'lung', 'whole', 0.0
7745, 'esophagus', 'lung', 0.0
7753, 'esophagus', 'adipose', 0.0
7788, 'esophagus', 'colon', 0.0
7790, 'esophagus', 'breast', 0.0
7809, 'esophagus', 'uterus', 0.0
7810, 'muscle', 'adipose', 0.0
7855, 'esophagus', 'vagina', 0.0
7876, 'breast', 'adipose', 0.0
7883, 'skin', 'brain', 0.0
7891, 'small', 'colon', 0.0
7901, 'minor', 'adipose', 0.0
7908, 'adipose', 'heart', 0.0
7909, 'adipose', 'breast', 0.0
8015, 'stomach', 'esophagus', 0.0
8044, 'lung', 'heart', 0.0
8150, 'minor', 'artery', 0.0
8232, 'ovary', 'breast', 0.0
8233, 'adipose', 'breast', 0.0
8234, 'nerve', 'adipose', 0.0
8254, 'skin', 'adipose', 0.0
8263, 'esophagus', 'colon', 0.0
8280, 'testis', 'esophagus', 0.0
8317, 'esophagus', 'colon', 0.0
8332, 'esophagus', 'colon', 0.0
8342, 'adipose', 'heart', 0.0
8357, 'esophagus', 'stomach', 0.0
8359, 'adipose', 'heart', 0.0
8476, 'esophagus', 'colon', 0.0
8483, 'adipose', 'breast', 0.0
8491, 'adipose', 'breast', 0.0
8514, 'adipose', 'breast', 0.0
8517, 'lung', 'heart', 0.0
8563, 'adipose', 'breast', 0.0
8567, 'thyroid', 'muscle', 0.0
8620, 'artery', 'breast', 0.0
8672, 'esophagus', 'colon', 0.0
8695, 'adipose', 'muscle', 0.0
8696, 'esophagus', 'brain', 0.0
8722, 'adipose', 'skin', 0.0
8769, 'nerve', 'heart', 0.0
8792, 'artery', 'nerve', 0.0
8817, 'adipose', 'breast', 0.0
8837, 'thyroid', 'muscle', 0.0
8864, 'esophagus', 'colon', 0.0
8873, 'adipose', 'breast', 0.0
8894, 'artery', 'adipose', 0.0
8977, 'adipose', 'breast', 0.0
8987, 'adrenal', 'adipose', 0.0
9021, 'adipose', 'skin', 0.0
9039, 'artery', 'adipose', 0.0
9061, 'muscle', 'esophagus', 0.0
9136, 'esophagus', 'colon', 0.0
9161, 'adipose', 'skin', 0.0
9193, 'adipose', 'breast', 0.0
9195, 'stomach', 'adipose', 0.0
9239, 'prostate', 'esophagus', 0.0
9252, 'stomach', 'colon', 0.0
9287, 'stomach', 'colon', 0.0
9298, 'breast', 'adipose', 0.0
9339, 'brain', 'whole', 0.0
9435, 'stomach', 'esophagus', 0.0
9451, 'pancreas', 'colon', 0.0
9455, 'artery', 'heart', 0.0
9507, 'adipose', 'breast', 0.0
9521, 'adipose', 'breast', 0.0
9531, 'adipose', 'breast', 0.0
9549, 'artery', 'skin', 0.0
9567, 'colon', 'small', 0.0
9579, 'small', 'colon', 0.0
9609, 'breast', 'adipose', 0.0
9614, 'adipose', 'breast', 0.0
